user	condition	trial	RTech	ViewCtrl	Release	T0	T1	TT	D0	D1	A0	A1	C0	C1	CC	HD0	HD1	HA0	HA1	TE0	TE1	RE0	RE1	NOA	
4	2	2	0	0	0	1	1.394043	19.61133	21.00537	0.9708384	0.04101698	111.6137	5.909319	0	3	3	0.6429282	1.461064	104.2471	577.426	0.8156458	0.201495	0.4729583	0.1931242	1	
4	2	3	0	0	0	1	2.241211	25.52246	27.76367	0.9676194	0.05029416	104.2022	4.191663	1	8	9	0.887113	3.57847	147.618	1122.098	0.6772074	0.04893835	0.61155	0.09455498	1	
4	3	1	0	0	1	0	3.98877	27.14453	31.1333	0.9999186	0.01616618	61.93906	2.64853	1	4	5	0.9038921	0.9131985	161.7916	240.2036	0.7552047	0.5400326	0.4890443	0.2653032	1	
4	3	2	0	0	1	0	4.684082	39.47754	44.16162	0.9729023	0.01523187	101.2186	1.389287	1	3	4	0.9506589	1.153464	159.9783	337.7588	0.6468902	0.5007398	0.4546983	0.3041857	1	
4	3	3	0	0	1	0	4.265137	38.11133	42.37646	0.9961339	0.03708278	111.346	1.315198	1	5	6	0.8833728	1.636606	146.3949	604.7366	0.8009258	0.2215478	0.6582705	0.1844264	1	
4	4	1	0	0	1	1	5.482422	36.51074	41.99316	0.9983553	0.05210397	46.22021	3.189173	1	6	7	1.255992	1.487251	223.4382	503.4379	0.60139	0.2623591	0.404141	0.09680539	1	
4	4	2	0	0	1	1	2.814453	39.03369	41.84814	0.9090203	0.01464016	117.6541	0.9462523	1	8	9	0.7543275	1.464938	125.9525	567.4468	0.7935448	0.1687179	0.5476173	0.2056331	1	
4	4	3	0	0	1	1	4.130859	32.17773	36.30859	0.9371572	0.02179361	101.0161	1.13089	1	9	10	0.8134353	1.315859	157.1964	446.723	0.8309318	0.2123715	0.6582986	0.2243976	1	
4	5	1	0	1	0	0	4.101074	41.64453	45.74561	0.9311277	0.1591305	45.80679	4.150938	1	6	7	0.7185753	1.582451	105.7887	615.5396	0.8795589	0.26243	0.7549494	0.07992518	1	
4	5	2	0	1	0	0	5.687988	38.98877	44.67676	0.9348283	0.07436961	101.3261	0.9970018	1	7	8	0.7506524	1.508984	115.971	669.8539	0.8545308	0.2911718	0.7734221	0.1465045	1	
4	5	3	0	1	0	0	5.353516	69.5332	74.88672	0.8661196	0.6268492	136.1771	8.141948	1	17	18	1.306006	3.568773	207.6968	1450.362	0.5083563	0.1084108	0.1950971	0.06971359	1	
4	6	1	0	1	0	1	2.75293	25.03369	27.78662	4.8655	0.05862362	29.48021	4.016557	1	2	3	0.7575158	2.424332	126.9334	864.855	0.8016821	0.4037091	0.6362885	0.02723984	1	
4	6	2	0	1	0	1	1.708008	41.57813	43.28613	0.9926354	0.02793625	113.9618	1.946751	0	6	6	0.8274408	3.7077	129.87	1375.033	0.5964609	0.03866496	0.6649297	0.06525374	1	
